pid, tgid, active partition, task partition, time, 10240:cf2cf7b8
387,387,0,0,4294912804,
80,80,0,0,4294912804,
3,3,0,0,4294912805,
378,378,0,0,4294912805,
10,10,0,0,4294912805,
374,374,0,0,4294912805,
11,11,0,0,4294912805,
80,80,0,0,4294912805,
62,62,0,0,4294912805,
385,385,0,0,4294912805,
3,3,0,0,4294912806,
10,10,0,0,4294912806,
385,385,0,0,4294912806,
3,3,0,0,4294912807,
10,10,0,0,4294912807,
11,11,0,0,4294912807,
80,80,0,0,4294912807,
62,62,0,0,4294912807,
64,64,0,0,4294912807,
62,62,0,0,4294912807,
64,64,0,0,4294912807,
80,80,0,0,4294912807,
62,62,0,0,4294912807,
48,48,0,0,4294912807,
62,62,0,0,4294912807,
397,397,0,0,4294912807,
387,387,0,0,4294912807,
58,58,0,0,4294912807,
387,387,0,0,4294912807,
397,397,0,0,4294912807,
387,387,0,0,4294912807,
80,80,0,0,4294912807,
62,62,0,0,4294912807,
64,64,0,0,4294912807,
3,3,0,0,4294912808,
10,10,0,0,4294912808,
62,62,0,0,4294912808,
64,64,0,0,4294912808,
397,397,0,0,4294912808,
48,48,0,0,4294912808,
387,387,0,0,4294912808,
58,58,0,0,4294912808,
387,387,0,0,4294912808,
80,80,0,0,4294912808,
62,62,0,0,4294912808,
80,80,0,0,4294912808,
62,62,0,0,4294912808,
64,64,0,0,4294912808,
397,397,0,0,4294912808,
48,48,0,0,4294912808,
80,80,0,0,4294912808,
62,62,0,0,4294912808,
80,80,0,0,4294912808,
62,62,0,0,4294912808,
64,64,0,0,4294912808,
3,3,0,0,4294912809,
10,10,0,0,4294912809,
11,11,0,0,4294912809,
64,64,0,0,4294912809,
80,80,0,0,4294912809,
48,48,0,0,4294912809,
397,397,0,0,4294912809,
11,11,0,0,4294912809,
80,80,0,0,4294912809,
62,62,0,0,4294912809,
397,397,0,0,4294912809,
388,388,0,0,4294912809,
80,80,0,0,4294912809,
62,62,0,0,4294912809,
64,64,0,0,4294912809,
80,80,0,0,4294912809,
48,48,0,0,4294912809,
384,384,0,0,4294912809,
3,3,0,0,4294912810,
10,10,0,0,4294912810,
80,80,0,0,4294912810,
62,62,0,0,4294912810,
80,80,0,0,4294912810,
62,62,0,0,4294912810,
64,64,0,0,4294912810,
80,80,0,0,4294912810,
48,48,0,0,4294912811,
3,3,0,0,4294912811,
10,10,0,0,4294912811,
11,11,0,0,4294912811,
397,397,0,0,4294912811,
388,388,0,0,4294912811,
387,387,0,0,4294912811,
388,388,0,0,4294912811,
387,387,0,0,4294912811,
58,58,0,0,4294912811,
387,387,0,0,4294912811,
388,388,0,0,4294912811,
3,3,0,0,4294912812,
10,10,0,0,4294912812,
388,388,0,0,4294912812,
397,397,0,0,4294912812,
80,80,0,0,4294912812,
62,62,0,0,4294912812,
384,384,0,0,4294912812,
3,3,0,0,4294912813,
10,10,0,0,4294912813,
11,11,0,0,4294912813,
80,80,0,0,4294912813,
62,62,0,0,4294912813,
64,64,0,0,4294912813,
62,62,0,0,4294912813,
64,64,0,0,4294912813,
48,48,0,0,4294912813,
64,64,0,0,4294912813,
80,80,0,0,4294912813,
62,62,0,0,4294912813,
80,80,0,0,4294912813,
62,62,0,0,4294912813,
64,64,0,0,4294912813,
80,80,0,0,4294912813,
48,48,0,0,4294912813,
80,80,0,0,4294912813,
62,62,0,0,4294912813,
80,80,0,0,4294912813,
62,62,0,0,4294912813,
64,64,0,0,4294912813,
80,80,0,0,4294912813,
48,48,0,0,4294912813,
80,80,0,0,4294912813,
62,62,0,0,4294912813,
80,80,0,0,4294912813,
