, VSZ STAT COMMAND, PID
1, init [5], kernel
2, [kthreadd], kernel
3, [ksoftirqd/0], softirq
4, [kworker/0:0], kernel
5, [kworker/0:0H], kernel
6, [kworker/u2:0], kernel
7, [posixcputmr/0], kernel
8, [kclksetdelayd], kernel
9, [kcmosdelayd], kernel
10, [rcu_preempt], kernel
11, [rcuop/0], kernel
12, [rcu_bh], kernel
13, [rcuob/0], kernel
14, [rcu_sched], kernel
15, [rcuos/0], kernel
16, [watchdog/0], kernel
17, [khelper], kernel
18, [kdevtmpfs], kernel
19, [netns], kernel
20, [writeback], kernel
21, [kintegrityd], kernel
22, [bioset], kernel
23, [kblockd], kernel
24, [irq/9-acpi], softirq
25, [ata_sff], kernel
26, [kworker/0:1], kernel
27, [khungtaskd], kernel
28, [kswapd0], kernel
29, [ksmd], kernel
30, [fsnotify_mark], kernel
31, [bioset], kernel
32, [crypto], kernel
46, [kthrotld], kernel
47, [kworker/u2:1], kernel
48, [irq/14-ata_piix], softirq
49, [irq/15-ata_piix], softirq
50, [scsi_eh_0], kernel
51, [scsi_eh_1], kernel
52, [kworker/u2:2], kernel
54, [irq/12-i8042], softirq
55, [irq/1-i8042], softirq
56, [deferwq], kernel
57, [kworker/u2:3], kernel
58, [irq/11-eth0], softirq
60, [kworker/u2:4], kernel
61, [kworker/0:2], kernel
62, [btrfs-worker-1], btrfs
63, [btrfs-genwork-1], btrfs
64, [btrfs-submit-1], btrfs
65, [btrfs-delalloc-], btrfs
66, [btrfs-fixup-1], btrfs
67, [btrfs-endio-1], btrfs
69, [btrfs-rmw-1], btrfs
70, [btrfs-endio-rai], btrfs
71, [btrfs-endio-met], btrfs
72, [btrfs-endio-wri], btrfs
73, [btrfs-freespace], btrfs
74, [btrfs-delayed-m], btrfs
75, [btrfs-cache-1], btrfs
76, [btrfs-readahead], btrfs
77, [btrfs-flush_del], btrfs
78, [btrfs-qgroup-re], btrfs
79, [btrfs-cleaner], btrfs
80, [btrfs-transacti], btrfs
81, [btrfs-endio-met], btrfs
112, /lib/udev/udevd -d, system
177, /lib/udev/udevd -d, system
178, /lib/udev/udevd -d, system
210, [kworker/0:1H], kernel
365, /usr/sbin/dropbear -r /etc/dropbear/dropbear_rsa_host_key -p 22 -B, system
374, /sbin/syslogd -n -O /var/log/messages, system
378, /sbin/klogd -n, system
380, -sh, system
381, /sbin/getty 38400 tty1, system
382, [irq/4-serial], softirq
383, goose_init -p -v -c /usr/share/goose-init/fs/instance1.xml, system
384, /usr/share/goose-init/fs/test_cpu,1000
385, /usr/share/goose-init/fs/test_dio,1001
387, /usr/sbin/dropbear -r /etc/dropbear/dropbear_rsa_host_key -p 22 -B, system
388, -sh, system
390, [btrfs-worker-2], btrfs
399, ps, system
